key,en,ja,ko,zh_Hans,ru,pt_BR,de,es,es_MX,fr,pl,tr
<!MissingKey:83:Drone crit 15%>,"Drone crit 15%
Damage x3","ドローンクリティカル15%
ダメージ×3","드론 크리티컬 15%
데미지 ×3","无人机暴击15%
伤害×3","Крит дрона 15%
Урон ×3","Crítico 15%
Dano ×3","Drohnen-Krit 15%
Schaden ×3","Crítico de dron 15%
Daño x3","Crítico de dron 15%
Daño x3","Critique drone 15%
Dégâts x3","Krytyk drona 15%
Obrażenia x3","Drone kritik %15
Hasar x3"
<!MissingKey:84:🛡 Emergency Return I>,🛡 Emergency Return I,🛡 緊急帰還 I,🛡 비상 귀환 I,🛡 紧急返回 I,🛡 Аварийный возврат I,🛡 Retorno de Emergência I,🛡 Notfallrückkehr I,🛡 Retorno de Emergencia I,🛡 Retorno de Emergencia I,🛡 Retour d'Urgence I,🛡 Powrót Awaryjny I,🛡 Acil Dönüş I
STAT_DRONE,Drone,ドローン,드론,无人机,Дрон,Drone,Drohne,Dron,Dron,Drone,Dron,Drone
MINIMAP_CORE_ALIVE,Destroyable Core,破壊可能なコア,파괴 가능한 코어,可破坏核心,Разрушаемое ядро,Núcleo Destruível,Zerstörbarer Kern,Núcleo Destruible,Núcleo Destruible,Noyau Destructible,Rdzeń do Zniszczenia,Yıkılabilir Çekirdek
<!MissingKey:87:✓ Unlocked>,✓ Unlocked,✓ 解除済み,✓ 해금 완료,✓ 已解锁,✓ Разблокировано,✓ Desbloqueado,✓ Freigeschaltet,✓ Desbloqueado,✓ Desbloqueado,✓ Débloqué,✓ Odblokowane,✓ Açıldı
STATS_TOTAL_SORTIE_TIME,Total Sortie Time,総出撃時間,총 출항 시간,总出击时间,Общее время вылетов,Tempo Total de Missão,Gesamteinsatzzeit,Tiempo Total de Salida,Tiempo Total de Salida,Temps de Sortie Total,Łączny Czas Wypraw,Toplam Çıkış Süresi
<!MissingKey:89:Thruster Boost II>,Thruster Boost II,スラスター強化 II,추진기 강화 II,推进器强化 II,Усиление двигателя II,Propulsor II,Triebwerk II,Impulsor II,Propulsor II,Propulseur II,Doładowanie Silnika II,İtici Güçlendirme II
<!MissingKey:90:Barrier II>,Barrier II,バリア II,배리어 II,护盾 II,Барьер II,Barreira II,Barriere II,Barrera II,Barrera II,Barrière II,Bariera II,Bariyer II
<!MissingKey:91:❄️ Scales with Winter destruction>,"❄️ Scales with Winter destruction
Max resource x3","❄️ 冬の破壊率に比例増加
最大資源 ×3","❄️ 겨울 파괴율에 비례 증가
최대 자원 ×3","❄️ 随冬季破坏率按比例增加
最大资源 ×3","❄️ Растёт с разрушением Зимы
Макс. ресурсы ×3","❄️ Escala com destruição do Inverno
Recurso máx. ×3","❄️ Skaliert mit Winter-Zerstörung
Max. Ressourcen ×3","❄️ Escala con destrucción de Invierno
Recurso máximo x3","❄️ Escala con destrucción de Invierno
Recurso máximo x3","❄️ Évolue avec la destruction de l'Hiver
Ressource max x3","❄️ Skaluje się z destrukcją Zimy
Maks. zasoby x3","❄️ Kış yıkımıyla ölçeklenir
Maks kaynak x3"
SETTINGS_BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM,🎵 BGM
STATS_BEST_RES,🏆 Best Resources (1 run),🏆 最高資源 (1回),🏆 최고 자원 (1회),🏆 最高资源 (单次),🏆 Лучший ресурс (1 вылет),🏆 Melhor Recurso (1 missão),🏆 Beste Ressourcen (1 Einsatz),🏆 Mejor Recurso (1 salida),🏆 Mejor Recurso (1 salida),🏆 Meilleure Ressource (1 sortie),🏆 Najlepsze Zasoby (1 wyprawa),🏆 En İyi Kaynak (1 çıkış)
<!MissingKey:94:Gold/Core block resource +5>,Gold/Core block resource +5,金/コアブロック資源 +5,금/코어 블록 자원 +5,金/核心方块资源 +5,Золото/ядро +5 ресурсов,Recurso ouro/núcleo +5,Gold/Kern-Ressource +5,Recurso de bloque dorado/núcleo +5,Recurso de bloque dorado/núcleo +5,Ressource bloc doré/noyau +5,Zasoby złotego/rdzenia +5,Altın/Çekirdek blok kaynağı +5
<!MissingKey:95:⏱️ Quick Return>,⏱️ Quick Return,⏱️ 帰還短縮,⏱️ 귀환 단축,⏱️ 返航缩短,⏱️ Быстрый возврат,⏱️ Retorno Rápido,⏱️ Schnellrückkehr,⏱️ Retorno Rápido,⏱️ Retorno Rápido,⏱️ Retour Rapide,⏱️ Szybki Powrót,⏱️ Hızlı Dönüş
<!MissingKey:96:Pickup range 2 → 6 tiles>,Pickup range 2 → 6 tiles,収集範囲 2マス → 6マス,수집 범위 2칸 → 6칸,拾取范围 2格 → 6格,Радиус сбора 2 → 6 клеток,Alcance 2 → 6 blocos,Sammelreichweite 2 → 6 Felder,Rango de recogida 2 → 6 casillas,Rango de recolección 2 → 6 casillas,Portée de collecte 2 → 6 cases,Zasięg zbierania 2 → 6 kratek,Toplama menzili 2 → 6 kare
<!MissingKey:97:💀 Final>,💀 Final,💀 最終,💀 최종,💀 终极,💀 Финал,💀 Final,💀 Final,💀 Final,💀 Final,💀 Final,💀 Finał,💀 Final
STAT_SHOCKWAVE,Shockwave,衝撃波,충격파,冲击波,Волна,Onda,Welle,Onda,Onda,Onde,Fala,Dalga
STATS_TITLE,📊 Sortie Statistics,📊 出撃統計,📊 출항 통계,📊 出击统计,📊 Статистика вылетов,📊 Estatísticas de Missão,📊 Einsatzstatistik,📊 Estadísticas de Salida,📊 Estadísticas de Salida,📊 Statistiques de Sortie,📊 Statystyki Wyprawy,📊 Çıkış İstatistikleri
STATS_BLOCKS_FMT,%s blocks,%s個,%s개,%s个,%s блоков,%s blocos,%s Blöcke,%s bloques,%s bloques,%s blocs,%s bloków,%s blok
LOADING_CACHE,Building cache...,キャッシュを構築中...,캐시 구성 중...,构建缓存中...,Построение кэша...,Construindo cache...,Cache wird erstellt...,Construyendo caché...,Construyendo caché...,Construction du cache...,Budowanie cache...,Önbellek oluşturuluyor...
<!MissingKey:102:🌡️ Heat Shield>,🌡️ Heat Shield,🌡️ 耐熱防御,🌡️ 내열 방어,🌡️ 耐热防御,🌡️ Теплозащита,🌡️ Escudo Térmico,🌡️ Hitzeschild,🌡️ Escudo Térmico,🌡️ Escudo Térmico,🌡️ Bouclier Thermique,🌡️ Osłona Termiczna,🌡️ Isı Kalkanı
<!MissingKey:103:Every 30 kills>,"Every 30 kills
5s piercing beam","30ブロック破壊毎に
5秒間貫通ビーム","30블록 파괴마다
5초간 관통 빔","30个方块破坏时
5秒贯穿光束","Каждые 30 блоков
5с пробивающий луч","A cada 30 destruições
feixe perfurante 5s","Alle 30 Zerstörungen
5s Durchschlagsstrahl","Cada 30 eliminaciones
Rayo perforante 5s","Cada 30 eliminaciones
Rayo perforante 5s","Toutes les 30 éliminations
Rayon perçant 5s","Co 30 eliminacji
Przenikający promień 5s","Her 30 öldürmede
5s delici ışın"
<!MissingKey:104:Fire interval -0.02s>,Fire interval -0.02s,発射間隔 -0.02秒,발사간격 -0.02초,发射间隔 -0.02秒,Интервал -0.02с,Intervalo -0.02s,"Intervall -0,02s",Intervalo de disparo -0.02s,Intervalo de disparo -0.02s,Intervalle de tir -0.02s,Interwał strzału -0.02s,Atış aralığı -0.02s
<!MissingKey:105:🧭 Launch Direction>,🧭 Launch Direction,🧭 出撃方向,🧭 출항 방향,🧭 出击方向,🧭 Направление запуска,🧭 Direção de Lançamento,🧭 Startrichtung,🧭 Dirección de Lanzamiento,🧭 Dirección de Lanzamiento,🧭 Direction de Lancement,🧭 Kierunek Startu,🧭 Fırlatma Yönü
<!MissingKey:106:Blocks Destroyed>,Blocks Destroyed,ブロック破壊,블록 파괴,方块破坏,Блоков уничтожено,Blocos Destruídos,Blöcke zerstört,Bloques Destruidos,Bloques Destruidos,Blocs Détruits,Zniszczone Bloki,Yıkılan Bloklar
<!MissingKey:107:💢 Splash Laser>,💢 Splash Laser,💢 スプラッシュレーザー,💢 스플래시 레이저,💢 溅射激光,💢 Лазер с разбросом,💢 Laser Disperso,💢 Flächenlaser,💢 Láser Explosivo,💢 Láser Explosivo,💢 Laser Explosif,💢 Laser Rozbryzgowy,💢 Sıçrama Lazeri
CORE_DESC_FOCUS,Core block damage x2,コアブロックダメージ×2,코어 블록 데미지 ×2,核心方块伤害×2,Урон по ядру ×2,Dano ao núcleo ×2,Kernschaden ×2,Daño a bloque de núcleo x2,Daño a bloque de núcleo x2,Dégâts bloc noyau x2,Obrażenia bloku rdzenia x2,Çekirdek blok hasarı x2
TUT_CORE_DESC,"Destroy cores deep inside the planet — that's your goal!
Clear surrounding blocks to reach them.
Return to base and upgrade your ship to grow stronger!","惑星深部のコアを破壊するのが目標！
周囲のブロックを除去して接近。
基地に戻って船をアップグレードしよう！","행성 내부의 코어를 파괴하는 것이 최종 목표입니다!
코어 주변 블록을 먼저 제거해야 접근할 수 있습니다.
기지로 돌아가 우주선을 업그레이드하여 강해지세요!","摧毁行星深处的核心是最终目标！
先清除周围方块才能接近。
返回基地升级飞船变得更强！","Уничтожайте ядра в глубине планеты!
Очищайте блоки, чтобы добраться до них.
Возвращайтесь и улучшайте корабль!","Destrua os núcleos dentro do planeta!
Limpe blocos ao redor para alcançá-los.
Retorne e melhore sua nave!","Zerstöre Kerne tief im Planeten!
Räume Blöcke aus dem Weg.
Zurück zur Basis und Schiff verbessern!","Destruye los núcleos en el interior — ¡ese es tu objetivo!
Elimina los bloques para llegar a ellos.
¡Vuelve a la base y mejora tu nave!","Destruye los núcleos en el interior — ¡ese es tu objetivo!
Elimina los bloques para llegar a ellos.
¡Regresa a la base y mejora tu nave!","Détruisez les noyaux à l'intérieur — c'est votre objectif !
Éliminez les blocs pour les atteindre.
Retournez à la base et améliorez votre vaisseau !","Zniszcz rdzenie wewnątrz planety — to twój cel!
Usuń bloki, aby do nich dotrzeć.
Wróć do bazy i ulepsz statek!","Gezegenin içindeki çekirdekleri yık — hedefin bu!
Onlara ulaşmak için blokları temizle.
Üsse dön ve gemini güçlendir!"
<!MissingKey:110:📦 Cargo Expand I>,📦 Cargo Expand I,📦 貨物拡張 I,📦 화물칸 확장 I,📦 货舱扩展 I,📦 Расширение трюма I,📦 Expansão de Carga I,📦 Frachterweiterung I,📦 Expansión de Carga I,📦 Expansión de Carga I,📦 Extension de Cargaison I,📦 Rozszerzenie Ładowni I,📦 Kargo Genişletme I
<!MissingKey:111:Laser Power V>,Laser Power V,レーザー出力 V,레이저 출력 V,激光功率 V,Мощность лазера V,Potência do Laser V,Laserstärke V,Potencia Láser V,Potencia Láser V,Puissance Laser V,Moc Lasera V,Lazer Gücü V
<!MissingKey:112:Laser Power VI>,Laser Power VI,レーザー出力 VI,레이저 출력 VI,激光功率 VI,Мощность лазера VI,Potência do Laser VI,Laserstärke VI,Potencia Láser VI,Potencia Láser VI,Puissance Laser VI,Moc Lasera VI,Lazer Gücü VI
<!MissingKey:113:✓ Max Level>,✓ Max Level,✓ 最大レベル,✓ 최대 레벨,✓ 最高等级,✓ Макс. уровень,✓ Nível Máximo,✓ Max. Stufe,✓ Nivel Máximo,✓ Nivel Máximo,✓ Niveau Max,✓ Maks. Poziom,✓ Maks Seviye
SORTIE_INCOME_FMT,💰 %s  ⛏ %d blocks,💰 %s  ⛏ %dブロック,💰 %s  ⛏ %d블록,💰 %s  ⛏ %d方块,💰 %s  ⛏ %d блоков,💰 %s  ⛏ %d blocos,💰 %s  ⛏ %d Blöcke,💰 %s  ⛏ %d bloques,💰 %s  ⛏ %d bloques,💰 %s  ⛏ %d blocs,💰 %s  ⛏ %d bloków,💰 %s  ⛏ %d blok
CORE_COST_INSUFFICIENT,🔴 Core ×%d (Not enough),🔴 コア ×%d (コア不足),🔴 코어 ×%d (코어 부족),🔴 核心 ×%d (核心不足),🔴 Ядро ×%d (Не хватает),🔴 Núcleo ×%d (Insuficiente),🔴 Kern ×%d (Nicht genug),🔴 Núcleo ×%d (Insuficiente),🔴 Núcleo ×%d (Insuficiente),🔴 Noyau ×%d (Insuffisant),🔴 Rdzeń ×%d (Niewystarczające),🔴 Çekirdek ×%d (Yetersiz)
<!MissingKey:116:📦 Cargo Expand V>,📦 Cargo Expand V,📦 貨物拡張 V,📦 화물칸 확장 V,📦 货舱扩展 V,📦 Расширение трюма V,📦 Expansão de Carga V,📦 Frachterweiterung V,📦 Expansión de Carga V,📦 Expansión de Carga V,📦 Extension de Cargaison V,📦 Rozszerzenie Ładowni V,📦 Kargo Genişletme V
STATS_BLOCKS_SHORT,⛏ %d blocks,⛏ %dブロック,⛏ %d블록,⛏ %d方块,⛏ %d блоков,⛏ %d blocos,⛏ %d Blöcke,⛏ %d bloques,⛏ %d bloques,⛏ %d blocs,⛏ %d bloków,⛏ %d blok
<!MissingKey:118:⚡ Electric Range II>,⚡ Electric Range II,⚡ 電気範囲強化 II,⚡ 전기 범위 강화 II,⚡ 电气范围强化 II,⚡ Дальность электричества II,⚡ Alcance Elétrico II,⚡ Elektroreichweite II,⚡ Alcance Eléctrico II,⚡ Alcance Eléctrico II,⚡ Portée Électrique II,⚡ Zasięg Elektryczny II,⚡ Elektrik Menzili II
SETTINGS_SHAKE,📳 Screen Shake,📳 画面振動,📳 화면 흔들림,📳 屏幕震动,📳 Тряска экрана,📳 Tremor de Tela,📳 Bildschirmwackeln,📳 Vibración de Pantalla,📳 Vibración de Pantalla,📳 Tremblement d'Écran,📳 Wstrząs Ekranu,📳 Ekran Titreşimi
<!MissingKey:120:🌸 Spring>,🌸 Spring,🌸 春,🌸 봄,🌸 春,🌸 Весна,🌸 Primavera,🌸 Frühling,🌸 Primavera,🌸 Primavera,🌸 Printemps,🌸 Wiosna,🌸 Bahar
BLOCKS_FMT,%d Blocks,%d ブロック,%d 블록,%d 方块,%d блоков,%d blocos,%d Blöcke,%d Bloques,%d Bloques,%d Blocs,%d Bloków,%d Blok
<!MissingKey:122:Every 15 kills>,"Every 15 kills
convert nearby to gold","15ブロック破壊毎に
周囲を金鉱に変換","15블록 파괴마다
주변 블록 금광 변환","15个方块破坏时
周围方块变为金矿","Каждые 15 блоков
превращает в золото","A cada 15 destruições
converte em ouro","Alle 15 Zerstörungen
zu Gold umwandeln","Cada 15 eliminaciones
Convierte los cercanos en oro","Cada 15 eliminaciones
Convierte los cercanos en oro","Toutes les 15 éliminations
Convertit les proches en or","Co 15 eliminacji
Zmienia pobliskie w złoto","Her 15 öldürmede
yakındakileri altına dönüştür"
<!MissingKey:123:🎯 Critical Hit>,🎯 Critical Hit,🎯 クリティカルヒット,🎯 크리티컬 히트,🎯 暴击,🎯 Критический удар,🎯 Golpe Crítico,🎯 Kritischer Treffer,🎯 Golpe Crítico,🎯 Golpe Crítico,🎯 Coup Critique,🎯 Trafienie Krytyczne,🎯 Kritik Vuruş
<!MissingKey:124:💰 Gold Block Enhance>,💰 Gold Block Enhance,💰 ゴールドブロック強化,💰 금블록 강화,💰 金方块强化,💰 Усиление золотого блока,💰 Bloco Dourado Aprimorado,💰 Goldblock verstärkt,💰 Mejora de Bloque Dorado,💰 Mejora de Bloque Dorado,💰 Amélioration Bloc Doré,💰 Ulepszenie Złotego Bloku,💰 Altın Blok Geliştirme
WPN_MEGA,⚡ Mega,⚡ メガレーザー,⚡ 메가레이저,⚡ 超级激光,⚡ Мега,⚡ Mega,⚡ Mega,⚡ Mega,⚡ Mega,⚡ Méga,⚡ Mega,⚡ Mega
<!MissingKey:126:Resource gain +12>,Resource gain +12,資源獲得 +12,자원 획득 +12,资源获取 +12,Ресурсы +12,Recursos +12,Ressourcen +12,Recurso +12,Recurso +12,Ressource +12,Zasoby +12,Kaynak +12
<!MissingKey:127:20% fuel reduction>,20% fuel reduction,燃料消費 20%軽減,연료 소모 20% 감소,燃料消耗降低20%,Расход топлива -20%,Redução de combustível 20%,20% weniger Verbrauch,Reducción de combustible 20%,Reducción de combustible 20%,Réduction de carburant 20%,Redukcja paliwa 20%,%20 yakıt azaltma
TUT_NODE_DESC,"Left-click a node to purchase upgrades.
Right-click and drag to scroll the node tree.
Now upgrade your ship and launch again!","ノードを左クリックで購入。
右クリックドラッグでノードツリーを移動。
船をアップグレードして再出撃！","노드를 좌클릭하면 업그레이드를 구매합니다.
우클릭 드래그로 노드 트리를 이동할 수 있습니다.
우주선을 업그레이드하고 다시 출항하세요!","左键点击节点购买升级。
右键拖动移动节点树。
升级飞船后再次出击！","ЛКМ по узлу — покупка.
ПКМ + перетаскивание — прокрутка.
Улучшайте корабль и вперёд!","Clique esquerdo para comprar.
Clique direito e arraste para navegar.
Melhore a nave e lance novamente!","Linksklick zum Kauf.
Rechtsklick + ziehen zum Scrollen.
Schiff verbessern und erneut starten!","Clic izquierdo en un nodo para comprar.
Clic derecho y arrastra para desplazar.
¡Mejora tu nave y lánzate de nuevo!","Clic en un nodo para comprar.
Clic derecho y arrastra para desplazar.
¡Mejora tu nave y lánzate de nuevo!","Clic gauche sur un nœud pour acheter.
Clic droit et glissez pour défiler.
Améliorez votre vaisseau et relancez !","Kliknij LPM na węzeł, aby kupić.
PPM i przeciągnij, aby przewijać.
Ulepsz statek i ruszaj ponownie!","Satın almak için düğüme sol tıkla.
Kaydırmak için sağ tıkla ve sürükle.
Gemini geliştir ve tekrar fırlat!"
CORE_FMT,◉ Core %d / %d,◉ コア %d / %d,◉ 코어 %d / %d,◉ 核心 %d / %d,◉ Ядро %d / %d,◉ Núcleo %d / %d,◉ Kern %d / %d,◉ Núcleo %d / %d,◉ Núcleo %d / %d,◉ Noyau %d / %d,◉ Rdzeń %d / %d,◉ Çekirdek %d / %d
<!MissingKey:130:Laser damage +1>,Laser damage +1,レーザーダメージ +1,레이저 데미지 +1,激光伤害 +1,Урон лазера +1,Dano do laser +1,Laserschaden +1,Daño láser +1,Daño láser +1,Dégâts laser +1,Obrażenia lasera +1,Lazer hasarı +1
EPILOGUE_CORES,Cores Destroyed,破壊したコア,파괴한 코어,已摧毁核心,Уничтожено ядер,Núcleos Destruídos,Zerstörte Kerne,Núcleos destruidos,Núcleos destruidos,Noyaux détruits,Zniszczone rdzenie,Yok Edilen Çekirdekler
<!MissingKey:132:Laser damage +3>,Laser damage +3,レーザーダメージ +3,레이저 데미지 +3,激光伤害 +3,Урон лазера +3,Dano do laser +3,Laserschaden +3,Daño láser +3,Daño láser +3,Dégâts laser +3,Obrażenia lasera +3,Lazer hasarı +3
<!MissingKey:133:20% chance for x3 damage>,"20% chance for x3 damage
Big yellow numbers","20%の確率でダメージ×3
大きな黄色の数字表示","20% 확률로 데미지 ×3
큰 노란 숫자 표시","20%概率伤害×3
显示大黄色数字","20% шанс на урон ×3
Большие жёлтые числа","20% de chance de dano ×3
Grandes números amarelos","20% Chance auf ×3 Schaden
Große gelbe Zahlen","20% de probabilidad de daño x3
Números amarillos grandes","20% de probabilidad de daño x3
Números amarillos grandes","20% de chance de dégâts x3
Gros chiffres jaunes","20% szans na obrażenia x3
Duże żółte liczby","x3 hasar için %20 şans
Büyük sarı sayılar"
<!MissingKey:134:Laser Power I>,Laser Power I,レーザー出力 I,레이저 출력 I,激光功率 I,Мощность лазера I,Potência do Laser I,Laserstärke I,Potencia Láser I,Potencia Láser I,Puissance Laser I,Moc Lasera I,Lazer Gücü I
EPILOGUE_TIME,Play Time,プレイ時間,플레이 시간,游玩时间,Время игры,Tempo de Jogo,Spielzeit,Tiempo de juego,Tiempo de juego,Temps de jeu,Czas gry,Oynama Süresi
<!MissingKey:136:Laser damage +8>,Laser damage +8,レーザーダメージ +8,레이저 데미지 +8,激光伤害 +8,Урон лазера +8,Dano do laser +8,Laserschaden +8,Daño láser +8,Daño láser +8,Dégâts laser +8,Obrażenia lasera +8,Lazer hasarı +8
<!MissingKey:137:Cargo +200>,Cargo +200,貨物 +200個,화물칸 +200개,货舱 +200个,Трюм +200,Carga +200,Fracht +200,Carga +200,Carga +200,Cargaison +200,Ładownia +200,Kargo +200
<!MissingKey:138:💰 Gold Value II>,💰 Gold Value II,💰 金鉱価値 II,💰 금광 가치 II,💰 金矿价值 II,💰 Ценность золота II,💰 Valor do Ouro II,💰 Goldwert II,💰 Valor del Oro II,💰 Valor del Oro II,💰 Valeur de l'Or II,💰 Wartość Złota II,💰 Altın Değeri II
<!MissingKey:139:Thruster Boost I>,Thruster Boost I,スラスター強化 I,추진기 강화 I,推进器强化 I,Усиление двигателя I,Propulsor I,Triebwerk I,Impulsor I,Propulsor I,Propulseur I,Doładowanie Silnika I,İtici Güçlendirme I
<!MissingKey:140:Range up Interval down>,Range up Interval down,範囲↑ 発動間隔↓,범위↑ 발동간격↓,范围↑ 触发间隔↓,Дальность↑ Интервал↓,Alcance↑ Intervalo↓,Reichweite↑ Intervall↓,Más alcance Menos intervalo,Más alcance Menos intervalo,Plus de portée Moins d'intervalle,Większy zasięg Mniejszy interwał,Daha fazla menzil Daha az aralık
<!MissingKey:141:Resource Efficiency III>,Resource Efficiency III,資源効率 III,자원 효율 III,资源效率 III,Эффективность ресурсов III,Eficiência de Recursos III,Ressourceneffizienz III,Eficiencia de Recursos III,Eficiencia de Recursos III,Efficacité des Ressources III,Efektywność Zasobów III,Kaynak Verimliliği III
STAT_AOE,AoE,広域,광역,范围,ОоУ,AoE,AoE,AoE,AoE,AoE,AoE,AoE
WPN_CHAIN,⚡ Chain,⚡ チェイン,⚡ 체인,⚡ 链式,⚡ Цепь,⚡ Cadeia,⚡ Kette,⚡ Cadena,⚡ Cadena,⚡ Chaîne,⚡ Łańcuch,⚡ Zincir
<!MissingKey:144:Barrier III>,Barrier III,バリア III,배리어 III,护盾 III,Барьер III,Barreira III,Barriere III,Barrera III,Barrera III,Barrière III,Bariera III,Bariyer III
<!MissingKey:145:🌍 New Planet>,🌍 New Planet,🌍 新惑星,🌍 새 행성,🌍 新行星,🌍 Новая планета,🌍 Novo Planeta,🌍 Neuer Planet,🌍 Nuevo Planeta,🌍 Nuevo Planeta,🌍 Nouvelle Planète,🌍 Nowa Planeta,🌍 Yeni Gezegen
MASTERY_POPUP_DESC,"The 'New Planet' button is now active.
You can destroy and regenerate the planet as many times as you want.
All upgrades are kept.","『新惑星』ボタンが有効になりました。
いつでも惑星を破壊して再生成できます。
アップグレードは維持されます。","'새 행성' 버튼이 활성화되었습니다.
행성을 언제든 파괴하고 새로 생성할 수 있습니다.
업그레이드는 유지됩니다.","'新行星'按钮已激活。
你可以随时摧毁并重新生成行星。
升级保持不变。","Кнопка 'Новая планета' активна.
Вы можете уничтожать и воссоздавать планету сколько угодно.
Улучшения сохраняются.","O botão 'Novo Planeta' está ativo.
Você pode destruir e regenerar o planeta quantas vezes quiser.
Melhorias são mantidas.","Der 'Neuer Planet'-Button ist aktiv.
Du kannst den Planeten beliebig oft zerstören und neu generieren.
Upgrades bleiben erhalten.","El botón 'Nuevo Planeta' está activo.
Puedes destruir y regenerar el planeta tantas veces como quieras.
Las mejoras se mantienen.","El botón 'Nuevo Planeta' está activo.
Puedes destruir y regenerar el planeta tantas veces como quieras.
Las mejoras se mantienen.","Le bouton 'Nouvelle Planète' est actif.
Vous pouvez détruire et regénérer la planète autant de fois que vous le souhaitez.
Les améliorations sont conservées.","Przycisk 'Nowa Planeta' jest aktywny.
Możesz niszczyć i odtwarzać planetę ile razy chcesz.
Ulepszenia zostają zachowane.","'Yeni Gezegen' butonu aktif.
Gezegeni istediğiniz kadar yok edip yeniden oluşturabilirsiniz.
Geliştirmeler korunur."
SORTIE_NUM,Sortie #%d,出撃 #%d,출항 #%d,出击 #%d,Вылет #%d,Missão #%d,Einsatz #%d,Salida #%d,Salida #%d,Sortie #%d,Wyprawa #%d,Çıkış #%d
<!MissingKey:148:🍂 Autumn>,🍂 Autumn,🍂 秋,🍂 가을,🍂 秋,🍂 Осень,🍂 Outono,🍂 Herbst,🍂 Otoño,🍂 Otoño,🍂 Automne,🍂 Jesień,🍂 Sonbahar
<!MissingKey:149:🎯Critical>,🎯Critical,🎯クリティカル,🎯크리티컬,🎯暴击,🎯Крит,🎯Crítico,🎯Kritisch,🎯Crítico,🎯Crítico,🎯Critique,🎯Krytyczny,🎯Kritik
ENDING_CONTINUE,Continue,コンティニュー,이어하기,继续,Продолжить,Continuar,Weiter,Continuar,Continuar,Continuer,Kontynuuj,Devam Et
<!MissingKey:151:More damage near center>,"More damage near center
(up to +100%)","惑星中心に近いほど
ダメージ増加 (最大+100%)","행성 중심에 가까울수록
데미지 증가 (최대 +100%)","越靠近行星中心
伤害越高 (最大+100%)","Больше урона у центра
(до +100%)","Mais dano perto do centro
(até +100%)","Mehr Schaden nahe Zentrum
(bis +100%)","Más daño cerca del centro
(hasta +100%)","Más daño cerca del centro
(hasta +100%)","Plus de dégâts près du centre
(jusqu'à +100%)","Więcej obrażeń blisko centrum
(do +100%)","Merkeze yakın daha fazla hasar
(+%100'e kadar)"
<!MissingKey:152:Cargo +50>,Cargo +50,貨物 +50個,화물칸 +50개,货舱 +50个,Трюм +50,Carga +50,Fracht +50,Carga +50,Carga +50,Cargaison +50,Ładownia +50,Kargo +50
<!MissingKey:153:Cargo +5000>,Cargo +5000,貨物 +5000個,화물칸 +5000개,货舱 +5000个,Трюм +5000,Carga +5000,Fracht +5000,Carga +5000,Carga +5000,Cargaison +5000,Ładownia +5000,Kargo +5000
<!MissingKey:154:🤖 Drone Power Chip>,🤖 Drone Power Chip,🤖 ドローン火力チップ,🤖 드론 화력칩,🤖 无人机火力芯片,🤖 Чип мощности дрона,🤖 Chip de Potência,🤖 Drohnen-Powerchip,🤖 Chip de Potencia de Dron,🤖 Chip de Potencia de Dron,🤖 Puce de Puissance Drone,🤖 Chip Mocy Drona,🤖 Drone Güç Çipi
<!MissingKey:155:🛡️ Barrier Regen>,🛡️ Barrier Regen,🛡️ バリア再生,🛡️ 배리어 재생,🛡️ 屏障再生,🛡️ Регенерация барьера,🛡️ Regeneração de Barreira,🛡️ Barriereregeneration,🛡️ Regeneración de Barrera,🛡️ Regeneración de Barrera,🛡️ Régénération de Barrière,🛡️ Regeneracja Bariery,🛡️ Bariyer Yenilenmesi
WPN_CRITICAL,🎯 Critical,🎯 クリティカル,🎯 크리티컬,🎯 暴击,🎯 Крит,🎯 Crítico,🎯 Kritisch,🎯 Crítico,🎯 Crítico,🎯 Critique,🎯 Krytyczny,🎯 Kritik
<!MissingKey:157:🤖 Drone Pierce>,🤖 Drone Pierce,🤖 ドローン貫通,🤖 드론 관통,🤖 无人机穿透,🤖 Пробивание дрона,🤖 Perfuração do Drone,🤖 Drohnen-Durchschlag,🤖 Perforación de Dron,🤖 Perforación de Dron,🤖 Perforation Drone,🤖 Przebicie Drona,🤖 Drone Delme
<!MissingKey:158:⚡ Mega Laser Enhance>,⚡ Mega Laser Enhance,⚡ メガレーザー強化,⚡ 메가 레이저 강화,⚡ 巨型激光强化,⚡ Усиление мегалазера,⚡ Mega Laser Aprimorado,⚡ Megalaser verstärkt,⚡ Mejora de Mega Láser,⚡ Mejora de Mega Láser,⚡ Amélioration Méga Laser,⚡ Ulepszenie Mega Lasera,⚡ Mega Lazer Geliştirme
<!MissingKey:159:Laser Power III>,Laser Power III,レーザー出力 III,레이저 출력 III,激光功率 III,Мощность лазера III,Potência do Laser III,Laserstärke III,Potencia Láser III,Potencia Láser III,Puissance Laser III,Moc Lasera III,Lazer Gücü III
